"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GEOS","Geospace Technologies Corporation","23.44","314812467.04","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/geos",
"GGB","Gerdau S.A.","3.56","6078702413.68","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/ggb",
"ROCK","Gibraltar Industries, Inc.","41.35","1303630988.45","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/rock",
"GIGA","Giga-tronics Incorporated","0.73","6971283.19","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/giga",
"BRSS","Global Brass and Copper Holdings, Inc.","32.65","705730958.05","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/brss",
"GRC","Gorman-Rupp Company (The)","30.79","803345677.17","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc",
"GGG","Graco Inc.","84.33","4695831720","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ggg",
"GRBK","Green Brick Partners, Inc.","9.9","484477131.6","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/grbk",
"GBX","Greenbrier Companies, Inc. (The)","46.7","1324591608.2","n/a","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/gbx",
"GFF","Griffon Corporation","25.4","1139362364.4","n/a","n/a","Capital Goods","Building Products","http://www.nasdaq.com/symbol/gff",
"GIFI","Gulf Island Fabrication, Inc.","13.25","194039717.75","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gifi",
"HNH","Handy & Harman Ltd.","26.25","321319320","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/hnh",
"HDNG","Hardinge Inc.","11.46","147784378.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hdng",
"HRS","Harris Corporation","104.55","12993133898.85","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hrs",
"HSC","Harsco Corporation","13.9","1114431985.7","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hsc",
"HBIO","Harvard Bioscience, Inc.","2.85","97966883.25","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/hbio",
"HAYN","Haynes International, Inc.","42.65","532747504.85","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/hayn",
"HCHC","HC2 Holdings, Inc.","6.68","279350545.92","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hchc",
